"x"
"abind"
"animation"
"ape"
"askpass"
"assertthat"
"backports"
"base64enc"
"BH"
"bindr"
"bindrcpp"
"bitops"
"blogdown"
"bmp"
"bookdown"
"Boom"
"BoomSpikeSlab"
"boral"
"brew"
"broom"
"bsts"
"callr"
"caTools"
"CausalImpact"
"cellranger"
"checkmate"
"classInt"
"cli"
"clipr"
"clisymbols"
"clusterGeneration"
"coda"
"colorspace"
"colourpicker"
"combinat"
"commonmark"
"config"
"corpcor"
"corrplot"
"countrycode"
"covr"
"cranlogs"
"crayon"
"crosstalk"
"crul"
"cubature"
"curl"
"data.table"
"dataverse"
"DBI"
"dbplyr"
"desc"
"devtools"
"dichromat"
"digest"
"dismo"
"doParallel"
"dotCall64"
"dplyr"
"DT"
"dygraphs"
"e1071"
"earth"
"ellipsis"
"evaluate"
"expm"
"extraDistr"
"fansi"
"fastmatch"
"fields"
"fishMod"
"FNN"
"foghorn"
"forcats"
"foreach"
"Formula"
"fs"
"future"
"gam"
"gbm"
"generics"
"ggimage"
"ggplot2"
"ggplotify"
"gh"
"git2r"
"globals"
"glue"
"gmailr"
"greta"
"gridExtra"
"gridGraphics"
"gstat"
"gtable"
"gtools"
"haven"
"hexbin"
"hexSticker"
"highlight"
"highr"
"hms"
"hSDM"
"htm2txt"
"htmltools"
"htmlwidgets"
"httpcode"
"httpuv"
"httr"
"hunspell"
"igraph"
"ini"
"inline"
"intervals"
"iterators"
"jpeg"
"jSDM"
"jsonlite"
"kableExtra"
"knitr"
"labeling"
"later"
"latticeExtra"
"lazyeval"
"leaflet"
"lifecycle"
"lintr"
"listenv"
"lme4"
"loo"
"lubridate"
"magick"
"magrittr"
"maps"
"markdown"
"Matrix"
"MatrixModels"
"matrixStats"
"mcmc"
"MCMCglmm"
"MCMCpack"
"mda"
"memoise"
"mime"
"miniUI"
"minqa"
"mnormt"
"mockery"
"modelr"
"msm"
"munsell"
"mvtnorm"
"natserv"
"ncmeta"
"nloptr"
"NLP"
"numDeriv"
"openssl"
"packrat"
"pander"
"parsedate"
"pbapply"
"phangorn"
"phytools"
"pillar"
"pingr"
"pinp"
"pkgbuild"
"pkgconfig"
"pkgdown"
"pkgload"
"plogr"
"plotmo"
"plotrix"
"png"
"praise"
"PresenceAbsence"
"prettyunits"
"processx"
"progress"
"promises"
"prophet"
"ps"
"psych"
"purrr"
"quadprog"
"quantreg"
"R2jags"
"R2OpenBUGS"
"R2WinBUGS"
"R6"
"randomForest"
"rappdirs"
"raster"
"rasterVis"
"rbenchmark"
"rcmdcheck"
"RColorBrewer"
"Rcpp"
"RcppArmadillo"
"RcppEigen"
"RcppGSL"
"RcppZiggurat"
"RCurl"
"rdist"
"readbitmap"
"readr"
"readxl"
"rematch"
"rematch2"
"remotes"
"rentrez"
"reprex"
"reticulate"
"rex"
"rgdal"
"rgeos"
"rgrass7"
"rhub"
"rjags"
"rlang"
"rmarkdown"
"rncl"
"RNetCDF"
"rotl"
"roxygen2"
"RPostgreSQL"
"rprojroot"
"rredlist"
"rsconnect"
"rstan"
"rstantools"
"rstudioapi"
"rsvg"
"rvcheck"
"rversions"
"rvest"
"scales"
"scatterplot3d"
"selectr"
"servr"
"sessioninfo"
"sf"
"shiny"
"shinyjs"
"shinythemes"
"showtext"
"showtextdb"
"slam"
"sourcetools"
"sp"
"spacetime"
"spam"
"SparseM"
"spelling"
"StanHeaders"
"stars"
"stringdist"
"stringi"
"stringr"
"sys"
"sysfonts"
"Taxonstand"
"TeachingDemos"
"tensorA"
"tensorflow"
"testthat"
"tfruns"
"threejs"
"tibble"
"tidyr"
"tidyselect"
"tidyverse"
"tiff"
"tinytex"
"tm"
"triebeard"
"truncnorm"
"units"
"urltools"
"usethis"
"utf8"
"uuid"
"vctrs"
"viridis"
"viridisLite"
"webshot"
"whisker"
"whoami"
"WikidataR"
"WikipediR"
"wikitaxa"
"withr"
"worrms"
"xfun"
"XML"
"xml2"
"xopen"
"xtable"
"xts"
"yaml"
"zeallot"
"zoo"
